pizza_id;order_id;pizza_name_id;quantity;order_date;order_time;unit_price;total_price;pizza_size;pizza_category;pizza_ingredients;pizza_name
1;19;hawaiian_m;2;01-09-15;12:33:00;13.25;26.50;M;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza
2;19;hawaiian_m;2;01-04-15;17:52:00;13.25;53.00;M;Classic;Sliced Ham, Pineapple, Mozzarella Cheese;The Hawaiian Pizza
3;3;bbq_chicken_l;2;01-11-15;17:13:00;17.75;35.50;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
4;18;pepperoni_xl;4;01-10-15;12:36:00;20.00;80.00;XL;Classic;Pepperoni, Mozzarella Cheese;The XL Pepperoni Pizza
5;7;pepperoni_xl;3;01-08-15;16:50:00;20.00;60.00;XL;Classic;Pepperoni, Mozzarella Cheese;The XL Pepperoni Pizza
6;6;bbq_chicken_l;2;01-11-15;16:14:00;17.75;35.50;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
7;11;margherita_s;4;01-01-15;14:37:00;10.50;42.00;S;Veggie;Tomato, Basil, Mozzarella Cheese;The Margherita Pizza
8;18;veggie_m;2;01-06-15;15:10:00;12.00;24.00;M;Veggie;Tomatoes, Green Peppers, Onions, Olives, Mushrooms;The Veggie Pizza
9;18;classic_dlx_m;1;01-07-15;20:17:00;16.00;16.00;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza
10;6;veggie_m;1;01-03-15;12:54:00;12.00;12.00;M;Veggie;Tomatoes, Green Peppers, Onions, Olives, Mushrooms;The Veggie Pizza
11;1;bbq_chicken_l;1;01-05-15;20:09:00;17.75;17.75;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
12;18;five_cheese_l;1;01-11-15;11:41:00;18.50;18.50;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza
13;3;classic_dlx_m;2;01-05-15;17:01:00;16.00;32.00;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza
14;13;bbq_chicken_l;1;01-05-15;13:44:00;17.75;17.75;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
15;9;classic_dlx_m;2;01-06-15;19:07:00;16.00;32.00;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza
16;15;five_cheese_l;2;01-08-15;11:40:00;18.50;37.00;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza
17;16;veggie_m;2;01-05-15;16:28:00;12.00;24.00;M;Veggie;Tomatoes, Green Peppers, Onions, Olives, Mushrooms;The Veggie Pizza
18;12;veggie_m;1;01-11-15;11:26:00;12.00;12.00;M;Veggie;Tomatoes, Green Peppers, Onions, Olives, Mushrooms;The Veggie Pizza
19;5;five_cheese_l;2;01-04-15;19:35:00;18.50;37.00;L;Veggie;Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic;The Five Cheese Pizza
20;16;veggie_m;4;01-02-15;16:18:00;12.00;48.00;M;Veggie;Tomatoes, Green Peppers, Onions, Olives, Mushrooms;The Veggie Pizza
21;3;bbq_chicken_l;3;01-04-15;17:14:00;17.75;53.25;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
22;4;bbq_chicken_l;2;01-10-15;14:34:00;17.75;35.50;L;Classic;Chicken, BBQ Sauce, Red Onions, Cilantro;The BBQ Chicken Pizza
23;14;classic_dlx_m;3;01-08-15;15:11:00;16.00;48.00;M;Classic;Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon;The Classic Deluxe Pizza
